Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AA56,NYSE,Real Estate,120.71,12765.84,98.31,131.25,13685596,4.55,-0.43,0.0469,1,0.83,2.68,1287.622265
AA57,S&P 500,Energy,606.44,3351.28,54.84,39.53,9896759,5.3,0.11,0.0522,1,0.9,6.86,225.7382229
AA58,S&P 500,Healthcare,358.09,3351.28,32.57,169.85,1244407,6.01,0.78,0.0224,1,1,7.91,547.4858436
AA59,JSE,Healthcare,188.28,55722,42.72,97.45,16048807,4.25,0.78,0.0345,17.7,1.05,7.05,417.2659715
AA60,S&P 500,Healthcare,929.81,3351.28,81.28,83.35,4023183,7.9,0.78,0.0183,1,0.77,3.6,694.7604625
AA61,BSE,Energy,86.9,38182.08,29.7,144.93,18400557,2.67,0.11,0.0288,74.9,0.63,3.14,426.5754815
AA62,NSE,Healthcare,579.94,11270.15,15.94,167.96,10620492,3.94,0.78,0.0537,74.9,0.84,1.76,264.0693743
AA63,NSE,Real Estate,847.79,11270.15,58.87,59.03,4925634,7.12,-0.43,0.0333,74.9,0.78,1.74,361.6125317
AA64,BSE,Information Tech,490.76,38182.08,33.48,60.18,6506471,7.48,0.23,0.0307,74.9,0.84,4.94,207.2078489
AA65,JSE,Real Estate,705.42,55722,63.49,18.43,6985875,6.35,-0.43,0.0323,17.7,1.2,7.92,129.8656549
AA66,BSE,Real Estate,668.65,38182.08,83.93,99.24,14521727,2.98,-0.43,0.0574,74.9,0.99,5.57,836.9372811
AA67,S&P 500,Information Tech,719.6,3351.28,16.25,41.3,16321757,4.27,0.23,0.0189,1,1.23,1.69,78.22312825
AA68,NSE,Healthcare,678.31,11270.15,54.1,184.86,1740000,2.66,0.78,0.0598,74.9,0.67,5.41,996.028706
AA69,NSE,Healthcare,28.39,11270.15,66.77,24.8,17714288,4.38,0.78,0.0413,74.9,0.8,0.64,173.5642428
AA70,NSE,Energy,14.46,11270.15,85.17,92.59,6663048,5.48,0.11,0.0585,74.9,0.91,8.85,789.7119498
AA71,NSE,Materials,500.02,11270.15,27.78,131.08,19819335,5.21,0.03,0.0195,74.9,0.68,8.15,362.9883992
AA72,NYSE,Energy,320.57,12765.84,28.42,76.08,17539715,5.91,0.11,0.0596,1,0.76,4.28,219.5322315
AA73,NSE,Healthcare,581.05,11270.15,19.63,189.62,2477097,6.08,0.78,0.0379,74.9,1.08,3.89,366.3658606
AA74,NYSE,Materials,589.3,12765.84,77.65,167.17,12824932,6.55,0.03,0.0447,1,1.24,1.49,1294.084366
AA75,NYSE,Healthcare,858.26,12765.84,31.72,118.1,9433780,3.77,0.78,0.0432,1,0.78,6.69,383.6776416
AA76,NYSE,Information Tech,464.12,,,,,7.34,0.23,0.0236,1,0.97,1.89,115.719128
AA77,JSE,Real Estate,438.71,55722,93.68,182.37,4009191,6.65,-0.43,0.0606,17.7,0.67,5.63,1701.559171
AA78,NSE,Information Tech,67.47,11270.15,68.16,120.14,12774902,7.07,0.23,0.0409,74.9,0.61,4.72,817.338639
AA79,BSE,Information Tech,686.01,38182.08,99.3,131.99,7798946,6.93,0.23,0.0607,74.9,1.06,8.51,1311.829794
AA80,NYSE,Materials,314.89,12765.84,40.02,160.76,18485327,6.26,0.03,0.0238,1,1.12,3.99,638.2318821
AA81,BSE,Energy,787.59,38182.08,10.75,152.97,19149872,3.79,,0.028,74.9,0.86,3.63,167.1205007
AA82,NYSE,Energy,347.27,12765.84,42.17,80.88,12045575,5.87,,0.0587,1,1.15,3.42,343.9385788
AA83,NYSE,Energy,,12765.84,77.84,140.18,13184810,4.56,,0.0608,1,1.08,9.09,1087.853789
AA84,BSE,Real Estate,,38182.08,66.67,12.58,14389698,5.61,,,74.9,1.24,1,104.1542563
AA85,NYSE,Healthcare,,12765.84,43.43,159.62,16025439,5.99,,,1,1.08,1.88,688.6287152
AA86,S&P 500,Energy,,3351.28,16.99,107.46,1103278,6.3,0.11,,1,0.78,8.05,189.8257383
AA87,JSE,Materials,,55722,10.63,127.86,10450767,5.56,0.03,,17.7,0.77,8.93,149.0465981
AA88,NSE,Materials,,11270.15,43.36,14.94,12243392,5.6,0.03,,74.9,0.95,4.67,74.04737192
AA89,BSE,Healthcare,660.7,38182.08,64.82,164.06,13568047,7.78,0.78,0.0556,74.9,0.99,4.5,1061.034571
AA90,S&P 500,Real Estate,249.11,3351.28,39.3,146.74,9572565,6.32,-0.43,0.0342,1,0.94,9.22,572.7544645
AA91,NSE,Information Tech,501,11270.15,68.06,42.39,6421190,3.78,0.23,0.0332,74.9,0.87,4.64,296.0314018
AA92,S&P 500,Materials,487.88,3351.28,89.26,74.9,13830382,4.3,0.03,0.0476,1,0.7,1.07,672.7141859
AA93,NSE,Materials,419.7,11270.15,58.88,82.25,8360283,4.57,0.03,0.0453,74.9,0.96,3.77,487.3041299
AA94,JSE,Energy,883.12,55722,10.76,182.11,19013748,7.04,0.11,0.0261,17.7,,0.88,200.6175023
AA95,NYSE,Information Tech,154.48,12765.84,52.26,79.68,10044863,3.18,0.23,0.0242,1,,7.99,418.9646983
AA96,NYSE,Healthcare,454.06,12765.84,81.06,142.7,17149060,4.16,0.78,0.0188,1,0.64,8.43,1154.057894
AA97,NSE,Healthcare,86.72,11270.15,58.14,198.97,10482434,7.58,0.78,0.0501,74.9,0.93,4.33,1147.565782
AA98,NSE,Healthcare,630.32,11270.15,66.97,133.18,15638084,6.55,0.78,0.0179,74.9,1.13,8.97,892.0140097
AA99,JSE,Healthcare,117.24,55722,67.71,143.79,18726384,3.73,0.78,0.0205,17.7,0.78,3.07,969.842731
AA100,NYSE,Energy,584.25,12765.84,31.42,,16162201,7.21,0.11,0.0417,,1.02,5.13,110.933121
AA101,JSE,Information Tech,944.88,55722,14.17,,6277699,5.29,0.23,0.0388,,1.05,5,248.693773
AA102,S&P 500,Healthcare,663.63,3351.28,48.14,,17804408,2.85,0.78,0.0253,,0.6,7.35,741.6362663
AA103,BSE,Healthcare,37.46,38182.08,48.99,,4059951,5.72,0.78,0.0238,,1.25,4.37,668.5122361
AA104,NYSE,Information Tech,742.08,12765.84,49.73,,7421512,3.69,0.23,0.0555,,0.99,7.08,303.7086526
AA105,NSE,Real Estate,637.96,11270.15,37.46,,18593535,7.23,-0.43,0.0235,,0.7,7.47,376.6092146
AA106,NSE,Energy,719.13,11270.15,35.06,,9436216,4.17,0.11,0.022,,1.11,5.13,683.9626123
AA107,NYSE,Materials,863.65,12765.84,40.99,82.41,9302386,6.07,0.03,0.0164,1,1.26,0.62,350.5219152
AA108,S&P 500,Real Estate,290.1,3351.28,20.77,191.37,2140079,4.72,-0.43,0.0395,1,0.79,1.36,389.4400243
AA109,NYSE,Healthcare,20.76,12765.84,41.69,182.38,7357720,7.12,0.78,0.0488,1,0.87,1.74,752.7536423
AA110,NYSE,Energy,489.29,12765.84,79.83,187.89,2599758,3.84,0.11,0.0176,1,,6.15,1492.881479
AA111,JSE,Healthcare,61.55,55722,74.68,16.61,16340030,7,0.78,0.0285,17.7,,8.86,132.8406211
AA112,S&P 500,Information Tech,154.34,3351.28,95.63,177.92,4885986,3.2,0.23,0.0225,1,1.11,2.15,1694.203636
AA113,S&P 500,Healthcare,591.45,3351.28,29.82,151.56,7876618,4,0.78,0.0455,1,1.09,6.69,449.807094
AA114,S&P 500,Energy,956.6,3351.28,55.03,10.43,6846701,5.69,0.11,0.0382,1,0.73,3.19,84.20892572
AA115,NYSE,Information Tech,516.61,12765.84,66.28,81.88,17816211,7.57,0.23,0.0298,1,1.13,0.65,546.432288
AA116,JSE,Information Tech,35.37,55722,40.65,97.65,804115,4.81,0.23,0.0559,17.7,0.66,1.56,397.654594
AA117,S&P 500,Information Tech,188,3351.28,11.02,41.5,11968951,7.81,0.23,0.0577,1,1,6.47,52.26794674
AA118,S&P 500,Materials,242.88,3351.28,91.91,125.98,17549542,7.54,0.03,0.0484,1,1,7.39,1155.927326
AA119,JSE,Information Tech,633.42,55722,31.26,121.27,9154687,7.45,0.23,0.0429,17.7,0.89,6.73,380.4594268
AA120,NYSE,Energy,866.7,12765.84,12.99,71.89,708806,5.29,0.11,0.0346,1,0.72,5.97,107.5355945
AA121,NSE,Materials,621.17,11270.15,27.93,74.83,1528636,2.78,0.03,0.0392,74.9,0.8,8.23,214.7436714
AA122,NSE,Real Estate,703.88,11270.15,71.7,46.81,10041027,6.65,-0.43,0.0239,74.9,0.66,8.59,345.6693153
AA123,JSE,Materials,154.59,55722,13.46,53.31,11620662,7.58,0.03,0.0352,17.7,0.84,3.99,77.05790973
AA124,S&P 500,Healthcare,203.29,3351.28,54.79,111.75,18272570,6.78,0.78,0.0477,1,0.7,4.07,611.8364474
AA125,NYSE,Materials,357.42,12765.84,47.28,41.08,8698631,4.05,0.03,0.0413,1,1.27,6.32,201.0387377
AA126,BSE,Healthcare,797.73,38182.08,46.11,145.91,10724757,4.39,0.78,0.0229,74.9,1.29,4.05,676.1305355
AA127,NSE,Healthcare,259.67,11270.15,14.13,147.01,18001447,6.82,0.78,0.0574,74.9,0.7,5.39,204.2750354
AA128,JSE,Real Estate,540.11,55722,27.39,86.52,5364864,4.74,-0.43,0.0597,17.7,0.75,4.76,240.5145373
AA129,NSE,Energy,501.79,11270.15,54.42,155.65,4050103,7.47,0.11,0.0594,74.9,0.78,4.78,843.3546415
AA130,BSE,Real Estate,370.87,38182.08,78.78,18.39,14810243,5.25,-0.43,0.061,74.9,0.96,9.26,153.9605089
AA131,JSE,Energy,547.95,55722,87.33,20.74,12790546,4.87,0.11,0.0343,17.7,1.07,2.16,191.2050693
AA132,JSE,Materials,151,55722,47.91,34.64,6791966,8.2,0.03,0.0509,17.7,1.25,8.42,172.94075
AA133,S&P 500,Materials,858.92,3351.28,29.46,99.45,12355763,4.76,0.03,0.0485,1,0.8,5.49,303.8099753
AA134,NSE,Information Tech,589.07,11270.15,96.73,145.78,19419666,4.48,0.23,0.0465,74.9,1.17,2.86,1408.264642
AA135,NSE,Information Tech,334.24,11270.15,37.67,187.24,19881413,4.57,0.23,0.0522,74.9,1.13,6.29,697.6825661
AA136,NSE,Information Tech,935.13,11270.15,87.39,106.51,16077834,5.15,0.23,0.045,74.9,1.14,7.7,946.1092494
AA137,JSE,Real Estate,817.19,55722,63.43,95.27,18296909,4.85,-0.43,0.0386,17.7,0.83,2.65,613.3096796
AA138,S&P 500,Healthcare,476.02,3351.28,89.83,157.92,6566812,6.13,0.78,0.0477,1,0.82,9.43,1414.537506
AA139,NSE,Materials,800.34,11270.15,66.1,65.79,7654654,6.58,0.03,0.0508,74.9,0.71,2.56,446.126124
AA140,BSE,Materials,298.61,38182.08,98.88,10.04,5766994,2.72,0.03,0.037,74.9,1.23,0.87,108.9803225
AA141,S&P 500,Materials,727.48,3351.28,59.88,28.08,1926111,6.44,0.03,0.0449,1,0.8,1.72,180.6719847
AA142,S&P 500,Information Tech,654.68,3351.28,50.41,19.14,663749,6.79,0.23,0.0441,1,0.91,8.48,108.2683474
AA143,NYSE,Materials,243.16,12765.84,45.31,59.45,6026214,6.87,0.03,0.0448,1,0.87,4.08,274.0689975
AA144,BSE,Energy,392.7,38182.08,34.18,184.04,4512760,4.8,0.11,0.0481,74.9,0.72,7.91,621.9815922
AA145,JSE,Real Estate,340.6,55722,20.09,159.71,15787711,4.75,-0.43,0.0215,17.7,0.74,4.33,316.0852191
AA146,JSE,Materials,541.56,55722,15.16,70.03,12166744,8.31,0.03,0.0613,17.7,0.81,6.29,111.4728801
AA147,NYSE,Energy,297.66,12765.84,72.08,51,14461875,3.69,0.11,0.0562,1,0.82,2.23,373.2591165
AA148,S&P 500,Energy,31.68,3351.28,48.58,78.38,15076754,8.12,0.11,0.0517,1,0.78,7.15,383.3587767
AA149,BSE,Materials,315.58,38182.08,90.26,79.96,10055818,5.5,0.03,0.0581,74.9,0.96,4.19,724.5226334
AA150,JSE,Healthcare,810.43,55722,35.14,53.31,16617633,6.49,0.78,0.041,17.7,0.62,6.61,200.4175382
AA151,BSE,Materials,313.95,38182.08,93.05,63.24,15291201,2.88,0.03,0.0285,74.9,0.93,8.21,592.912858
AA152,NSE,Healthcare,436.25,11270.15,73.41,31.8,19488720,4.99,0.78,0.0412,74.9,1,1.74,241.6611377
AA153,NYSE,Real Estate,289.43,12765.84,15.95,21.64,8590166,7.11,-0.43,0.057,1,1.1,3.28,43.05830452
AA154,JSE,Healthcare,739.14,55722,70.92,42.01,11855516,3.06,0.78,0.0595,17.7,0.81,6.38,309.5332124
AA155,JSE,Information Tech,678.26,55722,46.96,74.48,11617152,7.68,0.23,0.0248,17.7,0.62,2.93,356.541363
AA156,NSE,Healthcare,779.48,11270.15,89,92.18,1731569,7.73,0.78,0.0401,74.9,1.26,8.63,828.2963292
AA157,NYSE,Materials,247.7,12765.84,91.57,105.7,19121353,5.68,0.03,0.0464,1,0.69,3.11,967.977958
AA158,JSE,Real Estate,320.17,55722,50.32,38.02,14859977,3.1,-0.43,0.0273,17.7,1.01,6.81,198.2811799
AA159,S&P 500,Information Tech,129.43,3351.28,96.22,152.05,983714,7.53,0.23,0.0414,1,0.79,6.62,1458.340506
AA160,NYSE,Materials,390.26,12765.84,94.16,122.72,12202901,7.1,0.03,0.048,1,0.84,2.77,1154.357014
AA161,JSE,Real Estate,595.75,55722,37.16,194.26,9552866,2.68,-0.43,0.057,17.7,1.22,5.46,715.3619916
AA162,NSE,Materials,146.09,11270.15,37.1,14.79,6362027,3.17,0.03,0.0201,74.9,0.88,2.96,63.83872721
AA163,S&P 500,Materials,588.9,3351.28,78.21,82.56,16247974,7.09,0.03,0.0251,1,0.85,4.68,650.1228267
AA164,S&P 500,Information Tech,447.1,3351.28,86.54,175.14,4213522,7.21,0.23,0.0336,1,0.72,7.92,1509.618677
AA165,JSE,Healthcare,259.37,55722,66.93,182.81,17117109,3.71,0.78,0.0552,17.7,0.75,9,1216.149633
AA166,JSE,Real Estate,658.06,55722,97.79,118.69,6650982,7.57,-0.43,0.0208,17.7,0.88,5.49,1162.541528
AA167,BSE,Materials,924.72,38182.08,88.11,123.99,1369241,7.22,0.03,0.0355,74.9,1.29,8.27,1105.161129
AA168,JSE,Information Tech,568.57,55722,77.75,60.27,15090586,7.58,0.23,0.0474,17.7,0.71,1.1,475.0032288
AA169,NYSE,Information Tech,438.52,12765.84,44.29,86.32,7260914,3.09,0.23,0.0176,1,1.27,9.13,385.0481612
AA170,JSE,Information Tech,522.51,55722,30.26,58.61,9554825,5.24,0.23,0.0479,17.7,0.93,8.84,183.5067746
AA171,S&P 500,Real Estate,303.08,3351.28,41.01,86.24,8006708,5.29,-0.43,0.0345,1,1.17,5.76,355.8209557
AA172,NSE,Materials,922.42,11270.15,16.76,55.83,9740618,6.5,0.03,0.0165,74.9,1.14,1.38,113.0038131
AA173,S&P 500,Energy,67.34,3351.28,20.28,97.22,12441736,7.23,0.11,0.0441,1,0.94,2.66,198.0331712
AA174,NYSE,Information Tech,434.98,12765.84,77.88,145.61,18188569,6.05,0.23,0.0202,1,0.65,8.38,1130.849318
AA175,NSE,Information Tech,277.47,11270.15,22.33,161.66,9721816,6.68,0.23,0.0232,74.9,1.22,5.44,355.8400988
AA176,NYSE,Energy,675.87,12765.84,55.37,125.77,8500583,7.69,0.11,0.0412,1,0.83,5.58,698.0092571
AA177,S&P 500,Healthcare,176.68,3351.28,43.37,160.8,3360071,8.29,0.78,0.0306,1,1.17,3.49,692.0660363
AA178,S&P 500,Real Estate,676.04,3351.28,26.18,25.17,4345003,7.93,-0.43,0.0217,1,0.99,7.49,77.45827282
AA179,NSE,Real Estate,281.57,11270.15,89.84,66.66,4133160,3.64,-0.43,0.0489,74.9,0.65,1.38,602.8735187
AA180,NSE,Materials,135.77,11270.15,10.59,13.95,9014355,6.17,0.03,0.0578,74.9,1.13,6.87,23.84453388
AA181,S&P 500,Healthcare,616.76,3351.28,38.95,175.49,6387474,2.84,0.78,0.0329,1,0.72,4.87,679.3474257
AA182,NSE,Real Estate,336.46,11270.15,71.35,70.91,17443452,6.25,-0.43,0.0249,74.9,1.01,6.73,509.6823209
AA183,JSE,Information Tech,814.38,,,187.24,5149938,8.1,0.23,0.0279,17.7,1.28,2.35,1666.018892
AA184,NYSE,Healthcare,795.72,,,191.28,6375983,6.63,0.78,0.0261,1,0.87,2.11,1391.992734
AA185,NYSE,Materials,426.76,,,85.06,3799334,2.79,0.03,0.0475,1,0.85,8.39,795.0088638
AA186,NYSE,Real Estate,79.16,12765.84,35.97,66.23,16103085,2.72,-0.43,0.0502,1,1,6.81,242.0160002
AA187,S&P 500,Materials,108.62,3351.28,86.11,47.72,16658188,4.53,0.03,0.0373,1,1.03,6.29,416.5536255
AA188,S&P 500,Energy,195.01,3351.28,86.5,133.82,14263311,8.2,0.11,0.0537,1,0.89,9.28,1154.746969
AA189,NSE,Energy,676.42,11270.15,15,,,3.74,0.11,0.0164,74.9,1.03,1.25,287.0764298
AA190,S&P 500,Healthcare,793.41,3351.28,98.99,,,5.68,0.78,0.0236,1,1.06,5.45,1703.515313
AA191,NSE,Materials,356.5,11270.15,26.43,,,4.23,0.03,0.0567,74.9,0.96,9.52,263.5740108
AA192,NSE,Materials,218.02,11270.15,21.77,,,4.14,0.03,0.0227,74.9,1.09,3.75,422.2810444
AA193,NYSE,Materials,60.91,12765.84,37.46,95.21,6842988,7.33,0.03,0.0206,1,0.8,3.57,357.6113307
AA194,S&P 500,Real Estate,866.94,3351.28,62.78,111.97,2910683,3.61,-0.43,0.0233,1,0.81,5.4,712.8695697
AA195,BSE,Information Tech,496.16,38182.08,31.97,107.41,11209769,3.19,0.23,0.0505,74.9,0.7,1.49,344.508235
AA196,JSE,Real Estate,818.69,55722,71.65,40.68,13189394,7.99,-0.43,0.0547,17.7,1.17,5.6,305.9503528
AA197,JSE,Information Tech,32.9,55722,17.47,143.91,5299617,4.41,0.23,0.0348,17.7,0.8,5.12,247.7800259
AA198,JSE,Energy,948.96,55722,22.96,56.2,9574925,3.46,0.11,0.0551,17.7,0.77,7.19,150.6764094
AA199,NYSE,Healthcare,280.88,12765.84,95.93,41.91,8848606,4.94,,,,,2.17,408.6437227
AA200,NYSE,Real Estate,88.95,12765.84,90.09,192.05,804657,4.8,,,,,7.62,1721.438702
AA201,NYSE,Real Estate,319.14,12765.84,75.01,54.54,13660545,4.75,-0.43,0.0491,1,1.25,0.59,414.41197
AA202,NSE,Materials,10.6,11270.15,59.42,197,16940969,4.36,0.03,0.0548,74.9,0.86,4.9,1161.35492
AA203,NSE,Information Tech,886.73,11270.15,39.63,76.53,10067020,3.33,0.23,0.0276,74.9,0.85,0.78,318.0384125
AA204,NSE,Materials,262.64,11270.15,27.87,49.05,1846671,6.96,0.03,0.0315,74.9,1.14,4.04,142.495625
AA205,S&P 500,Real Estate,637.61,3351.28,26.35,66.18,3861938,7.1,-0.43,0.0501,1,1.22,2.76,181.1911927
AA206,NYSE,Real Estate,681.01,12765.84,65.69,76.8,10931351,5.36,-0.43,0.0587,1,1.26,4.2,511.0044583
AA207,BSE,Healthcare,931.88,38182.08,27.33,104.79,15921548,6.72,0.78,0.0225,74.9,0.93,1.91,301.8410457
AA208,NSE,Energy,312.82,11270.15,46.87,173.35,15562180,2.97,0.11,0.0225,74.9,0.91,6.43,806.1002291
AA209,S&P 500,Healthcare,489.88,3351.28,14.31,101.23,14088963,5.32,0.78,0.0203,1,1.28,6.59,146.7966143
AA210,NYSE,Real Estate,333.68,12765.84,70.31,195.68,10549808,3.63,-0.43,0.0203,1,0.99,9.05,1367.169966
AA211,NYSE,Information Tech,134.4,12765.84,65.93,45.74,15821742,7.76,0.23,0.0591,1,1.05,6.23,307.4539272
AA212,NSE,Real Estate,565.16,11270.15,71.95,155.05,13950010,6.3,-0.43,0.0358,74.9,0.7,9.14,1112.503198
AA213,S&P 500,Materials,5.79,3351.28,23.17,15.46,17411745,3.55,0.03,0.0159,1,0.9,5.96,44.62004888
AA214,S&P 500,Materials,770.99,3351.28,34.23,160.21,12010120,6.42,0.03,0.034,1,1.01,7.14,549.273113
AA215,JSE,Real Estate,53.79,55722,92.15,107.78,5133084,7.48,-0.43,0.0213,17.7,1.08,2.14,992.7701141
AA216,JSE,Healthcare,422.42,55722,61.78,37.94,11771950,7.96,0.78,0.0266,17.7,0.67,4.03,241.9443376
AA217,NSE,Information Tech,273.91,11270.15,44.49,100.8,14307702,3.62,0.23,0.0194,74.9,1.2,7.12,449.1433407
